id_aviso,banos,estacionamientos,dormitorios,antiguedad_anos,condominio_cerrado,distancia_centro_comuna_m,distancia_centro_concepcion_m,cantidad_paraderos,cantidad_jardines_infantiles,cantidad_colegios,cantidad_universidades,cantidad_plazas,cantidad_supermercados,cantidad_farmacias,cantidad_centros_comerciales,cantidad_hospitales,cantidad_clinicas,cantidad_estaciones_metro,superficie_total_m2,superficie_util_m2,bodegas,gastos_comunes,estacionamiento_visitas,piscina,quincho,conserjeria,ascensor,piso_unidad,rank_nac,c_ig_com,c_ig_reg,c_ig_nac,pob_rsh_uv,hog_uv,p_urbano,precio_clp,nivel_barrio,precio_m2_sector_departamento,tiene_comparables_cercanos,comuna_otras comunas,comuna_san-pedro-de-la-paz-biobio,amoblado,ratio_total_util
MLC-4155492280,1.0,0.0,1,3,True,1535.1,1535.1,5.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,33.0,37.6,0,32.0,1,0.0,0.0,1.0,1.0,9.0,6382.0,3.0,4.0,4.0,2472.0,1579.0,44.747797054366714,400000.0,4,11170.212765957447,True,False,False,1,0.8776595744680851
MLC-4146278378,2.0,1.0,3,0,True,5141.9,5141.9,5.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,88.0,0,0.0,0,0.0,0.0,1.0,1.0,6.0,6684.0,4.0,4.0,4.0,6833.0,3079.0,90.5171296845883,750000.0,4,9571.42857142857,True,False,False,0,1.0227272727272727
MLC-4145375228,1.0,0.0,1,8,True,2751.4,2751.4,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,37.6,0,0.0,0,1.0,0.0,1.0,1.0,1.0,6741.0,4.0,4.0,4.0,1295.0,716.0,36.99002340181459,300000.0,3,10263.157894736843,True,False,False,0,0.8776595744680851
MLC-3972461458,1.0,0.0,1,18,True,361.1,361.1,5.0,0.0,2.0,2.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,33.0,37.6,1,92000.0,0,0.0,0.0,1.0,1.0,8.0,3511.0,1.0,3.0,3.0,1254.0,785.0,100.0,350000.0,2,10439.814814814814,True,False,False,0,0.8776595744680851
MLC-4112422210,1.0,0.0,2,0,False,1266.0,1266.0,5.0,2.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,52.0,50.0,0,54000.0,0,0.0,0.0,1.0,0.0,1.0,6279.0,3.0,4.0,4.0,2598.0,1648.0,99.99999999999997,350000.0,2,9433.962264150943,True,False,False,0,1.04
MLC-2020671041,1.0,0.0,1,2,True,576.7,576.7,5.0,5.0,1.0,5.0,0.0,1.0,5.0,2.0,0.0,5.0,0.0,33.0,37.6,1,80000.0,0,0.0,0.0,0.0,1.0,1.0,6768.0,4.0,4.0,4.0,1656.0,1111.0,99.99999999999999,300000.0,2,10638.297872340425,True,False,False,0,0.8776595744680851
MLC-4112423812,2.0,0.0,2,12,True,898.7,898.7,5.0,5.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,4.0,0.0,56.0,56.0,0,90000.0,0,0.0,0.0,1.0,0.0,1.0,6636.0,4.0,4.0,4.0,2317.0,1552.0,99.99999999999994,500000.0,2,10727.272727272728,True,False,False,0,1.0
MLC-4098301134,1.0,0.0,1,10,False,1462.4,1462.4,5.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,0,35000.0,0,0.0,0.0,1.0,1.0,4.0,6279.0,3.0,4.0,4.0,2598.0,1648.0,99.99999999999997,380000.0,2,10372.340425531915,True,False,False,0,1.0
MLC-4105683082,2.0,1.0,3,25,True,1008.7,1008.7,5.0,4.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,70.0,65.0,1,120000.0,0,0.0,0.0,1.0,1.0,4.0,5492.0,1.0,4.0,4.0,2073.0,1418.0,100.00000000000001,695000.0,4,11000.0,True,False,False,0,1.0769230769230769
MLC-2016686189,2.0,1.0,3,8,True,2588.3,2588.3,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,75.0,70.0,0,180000.0,1,1.0,0.0,1.0,0.0,10.0,6741.0,4.0,4.0,4.0,1295.0,716.0,36.99002340181459,900000.0,3,12076.998662268645,True,False,False,0,1.0714285714285714
MLC-4050397406,2.0,1.0,2,0,True,948.9,948.9,5.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,56.0,53.0,1,40000.0,0,0.0,0.0,1.0,0.0,1.0,6178.0,3.0,4.0,4.0,2620.0,1658.0,100.0,550000.0,2,10819.148936170212,True,False,False,0,1.0566037735849056
MLC-4071325048,1.0,0.0,1,2,False,836.5,836.5,5.0,4.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,40.0,40.0,0,0.0,1,0.0,0.0,1.0,1.0,4.0,6768.0,4.0,4.0,4.0,1656.0,1111.0,99.99999999999999,490000.0,2,10638.297872340425,True,False,False,0,1.0
MLC-4071321386,2.0,0.0,2,0,True,699.4,699.4,5.0,1.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,48.0,45.0,0,60000.0,0,0.0,0.0,1.0,0.0,1.0,4644.0,1.0,4.0,3.0,2739.0,1645.0,100.00000000000004,448485.51,2,10638.297872340425,True,False,False,0,1.0666666666666667
MLC-2006031251,1.0,0.0,1,15,True,793.4,793.4,5.0,5.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,5.0,0.0,39.0,39.0,0,55000.0,0,0.0,0.0,1.0,0.0,5.0,6768.0,4.0,4.0,4.0,1656.0,1111.0,99.99999999999999,400000.0,2,10638.297872340425,True,False,False,0,1.0
MLC-4093516152,2.0,1.0,3,16,True,3996.5,3996.5,5.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,84.0,84.0,1,150000.0,0,0.0,0.0,1.0,1.0,1.0,6684.0,4.0,4.0,4.0,6833.0,3079.0,90.5171296845883,850000.0,1,10192.307692307691,True,False,False,1,1.0
MLC-4139256762,2.0,1.0,3,26,True,690.6,690.6,5.0,5.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,140.0,140.0,1,380.0,0,0.0,0.0,1.0,1.0,3.0,6636.0,4.0,4.0,4.0,2317.0,1552.0,99.99999999999994,1100000.0,2,11206.896551724138,True,False,False,0,1.0
