,id_aviso,banos,estacionamientos,dormitorios,antiguedad_anos,condominio_cerrado,distancia_centro_comuna_m,distancia_centro_concepcion_m,cantidad_paraderos,cantidad_jardines_infantiles,cantidad_colegios,cantidad_universidades,cantidad_plazas,cantidad_supermercados,cantidad_farmacias,cantidad_centros_comerciales,cantidad_hospitales,cantidad_clinicas,cantidad_estaciones_metro,superficie_total_m2,superficie_util_m2,bodegas,gastos_comunes,estacionamiento_visitas,piscina,quincho,conserjeria,ascensor,piso_unidad,rank_nac,c_ig_com,c_ig_reg,c_ig_nac,pob_rsh_uv,hog_uv,p_urbano,precio_clp,nivel_barrio,precio_m2_sector_casa,precio_m2_sector_departamento,tiene_comparables_cercanos,tipo_propiedad_departamento,comuna_otras comunas,comuna_san-pedro-de-la-paz-biobio,amoblado,ratio_total_util
64,MLC-4111974424,1.0,0.0,2,11,False,2711.4,2711.4,5.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,30.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,6140.0,3.0,4.0,4.0,2512.0,1301.0,100.00000000000001,450000.0,3,7791.327913279132,10166.71297582662,False,False,False,False,0,2.3333333333333335
65,MLC-4132774334,2.0,1.0,2,0,True,758.0,758.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,1.0,0.0,1,0.0,0.0,1.0,1.0,1.0,4644.0,1.0,4.0,3.0,2739.0,1645.0,100.00000000000004,380000.0,2,7791.327913279132,10166.71297582662,False,False,False,False,0,1.0
66,MLC-4068934316,1.0,0.0,2,11,True,2213.5,2213.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.3,56.9,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,6241.0,3.0,4.0,4.0,1022.0,535.0,99.99999999999999,300000.0,4,7791.327913279132,10166.71297582662,False,False,False,False,0,1.358523725834798
67,MLC-2048439561,1.0,0.0,2,11,False,1986.3,1986.3,5.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,5932.0,2.0,4.0,4.0,8672.0,4287.0,99.99999999999996,500000.0,3,7791.327913279132,10166.71297582662,False,False,False,False,0,1.0
68,MLC-2048439763,2.0,2.0,2,2,True,2688.8,2688.8,5.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,310.0,173.0,1.0,30.0,1,0.0,0.0,1.0,0.0,1.0,5455.0,1.0,4.0,4.0,10400.0,5578.0,70.00755326012411,850000.0,1,7791.327913279132,10166.71297582662,False,False,False,False,0,1.7919075144508672
69,MLC-4101740888,2.0,0.0,2,15,True,793.4,793.4,5.0,5.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,5.0,0.0,45.0,45.0,0.0,80.0,1,0.0,0.0,1.0,1.0,9.0,6768.0,4.0,4.0,4.0,1656.0,1111.0,99.99999999999999,450000.0,1,7791.327913279132,10660.377358490567,True,True,False,False,0,1.0
70,MLC-4152851530,2.0,1.0,3,4,True,5612.0,5612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,67.0,0.0,50.0,1,0.0,0.0,1.0,1.0,4.0,6684.0,4.0,4.0,4.0,6833.0,3079.0,90.5171296845883,580000.0,0,7791.327913279132,8250.0,True,True,False,False,0,1.044776119402985
71,MLC-4047161288,2.0,1.0,3,0,True,4556.3,4556.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,75.6,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,6282.0,3.0,4.0,4.0,12506.0,6078.0,99.99999999999994,650000.0,4,7791.327913279132,10327.380952380952,True,True,False,False,0,0.7936507936507937
72,MLC-4103709030,2.0,0.0,2,16,True,792.7,792.7,5.0,4.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,5.0,0.0,65.0,65.0,1.0,110.0,1,0.0,0.0,1.0,1.0,9.0,6768.0,4.0,4.0,4.0,1656.0,1111.0,99.99999999999999,500000.0,1,7791.327913279132,10660.377358490567,True,True,False,False,0,1.0
73,MLC-4091480256,2.0,1.0,2,10,True,515.2,515.2,5.0,5.0,5.0,3.0,3.0,3.0,5.0,1.0,0.0,5.0,0.0,56.0,54.0,1.0,100.0,1,0.0,0.0,1.0,1.0,9.0,6636.0,4.0,4.0,4.0,2317.0,1552.0,99.99999999999994,599000.0,1,7791.327913279132,11250.0,True,True,False,False,0,1.037037037037037
