id_aviso,banos,estacionamientos,dormitorios,antiguedad_anos,condominio_cerrado,distancia_centro_comuna_m,distancia_centro_concepcion_m,cantidad_paraderos,cantidad_jardines_infantiles,cantidad_colegios,cantidad_universidades,cantidad_plazas,cantidad_supermercados,cantidad_farmacias,cantidad_centros_comerciales,cantidad_hospitales,cantidad_clinicas,cantidad_estaciones_metro,superficie_total_m2,superficie_util_m2,bodegas,gastos_comunes,estacionamiento_visitas,piscina,quincho,conserjeria,ascensor,piso_unidad,rank_nac,c_ig_com,pob_rsh_uv,hog_uv,p_urbano,precio_clp,costo_total_clp,nivel_barrio,precio_m2_sector_departamento,tiene_comparables_cercanos,comuna_otras comunas,comuna_san-pedro-de-la-paz-biobio,amoblado,ratio_total_util
MLC-2082073995,2.0,2,2,0,True,1015.8,4236.5,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,98.0,80.0,1.0,140000.0,1.0,1.0,0.0,1.0,1.0,3.0,6748.0,4.0,2908.0,1351.0,5.75523405114186,950000.0,1090000.0,3,12420.32967032967,True,False,True,0,1.225
MLC-2082160601,2.0,1,2,0,True,830.0,12415.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,76.0,76.0,0.0,80000.0,1.0,0.0,0.0,1.0,0.0,2.0,5136.0,2.0,13939.0,6879.0,81.3670347779654,600000.0,680000.0,1,8915.534804753821,True,True,False,0,1.0
MLC-2082126315,3.0,2,4,30,True,8584.9,3019.8,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,150.0,145.0,1.0,230000.0,1.0,1.0,0.0,1.0,1.0,4.0,6741.0,4.0,1295.0,716.0,36.9900234018146,1300000.0,1530000.0,1,11315.78947368421,True,True,False,0,1.0344827586206897
MLC-4230654418,2.0,1,2,0,True,1787.3,4908.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,73.0,1.0,100000.0,1.0,1.0,0.0,1.0,1.0,3.0,6748.0,4.0,2908.0,1351.0,5.75523405114186,780000.0,880000.0,3,10940.347970173985,True,False,True,0,1.0547945205479452
MLC-4230798896,1.0,1,2,11,True,6017.9,6716.5,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,48.0,1.0,55000.0,0.0,1.0,0.0,1.0,0.0,2.0,6682.0,4.0,4021.0,1996.0,65.5175717706704,530000.0,585000.0,1,12500.0,True,True,False,0,1.0416666666666667
MLC-4230654138,2.0,0,2,4,False,1275.4,1275.4,5.0,1.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,3.0,0.0,52.0,52.0,0.0,65000.0,0.0,1.0,0.0,0.0,1.0,4.0,4889.0,1.0,6948.0,3534.0,56.3609274194969,440000.0,505000.0,2,9737.373737373739,True,False,False,0,1.0
MLC-4230680892,1.0,1,1,0,False,1543.4,1543.4,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,35000.0,1.0,0.0,0.0,1.0,0.0,1.0,5752.0,2.0,3137.0,1789.0,100.0,400000.0,435000.0,1,9600.0,True,False,False,0,1.0
MLC-4229766402,1.0,1,1,2,False,792.5,792.5,5.0,5.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,5.0,0.0,33.1,37.9,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6768.0,4.0,1656.0,1111.0,100.0,420000.0,420000.0,2,11891.891891891892,True,False,False,0,0.8733509234828497
MLC-4230654884,1.0,1,1,1,True,2823.6,6960.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,43.0,1.0,50000.0,1.0,0.0,0.0,1.0,1.0,1.0,5385.0,3.0,323.0,156.0,19.0571301445678,410000.0,460000.0,2,11857.142857142857,True,False,True,0,1.0465116279069768
MLC-4113212012,1.0,1,2,0,True,7702.7,11210.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,46.0,0.0,50000.0,1.0,1.0,0.0,1.0,1.0,1.0,4426.0,2.0,23629.0,10635.0,64.8623594811321,450000.0,500000.0,0,9361.702127659575,True,False,True,0,1.0434782608695652
MLC-2012996929,2.0,1,2,3,True,1141.4,1141.4,5.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,44.0,0.0,85000.0,0.0,0.0,0.0,1.0,0.0,1.0,5752.0,2.0,3137.0,1789.0,100.0,480000.0,565000.0,2,9572.727272727272,True,False,False,0,1.0681818181818181
MLC-2013006767,1.0,1,1,26,False,1382.3,1382.3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,1.0,60000.0,0.0,0.0,0.0,0.0,1.0,2.0,4687.0,1.0,2156.0,1177.0,57.9263203269884,400000.0,460000.0,2,13157.894736842105,True,False,False,0,1.0
MLC-4230801278,2.0,1,2,5,False,476.7,476.7,5.0,5.0,3.0,5.0,1.0,1.0,5.0,1.0,0.0,5.0,0.0,66.0,61.0,1.0,130000.0,1.0,0.0,0.0,1.0,0.0,16.0,6318.0,3.0,1035.0,677.0,100.0,650000.0,780000.0,2,11692.307692307691,True,False,False,0,1.0819672131147542
MLC-4230660138,1.0,0,3,12,True,4319.3,4319.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5569.0,2.0,8881.0,4312.0,47.4765461690525,450000.0,450000.0,0,8611.111111111111,True,False,False,0,1.0
MLC-4230685814,1.0,1,1,13,False,825.9,825.9,5.0,4.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,3.0,0.0,37.0,33.0,0.0,65000.0,1.0,1.0,0.0,1.0,1.0,6.0,5492.0,1.0,2073.0,1418.0,100.0,440000.0,505000.0,2,12242.021276595744,True,False,False,0,1.121212121212121
MLC-2084198431,1.0,1,2,0,False,2583.2,5167.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,1.0,6117.0,4.0,6313.0,3653.0,99.9999999999999,400000.0,410000.0,1,9666.666666666666,True,True,False,0,1.0
MLC-4116737804,2.0,1,2,5,True,9940.5,34611.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.6,69.5,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,1.0,2449.0,2.0,986.0,583.0,51.3838868908969,700000.0,850000.0,2,12000.0,True,True,False,0,1.0014388489208632
