feature,shap_importancia_clp,direccion_corr,share_pct,direccion
superficie_total_m2,49154.17968212425,0.9501637778704027,18.894679363211626,sube el costo total
banos,45614.23571506408,0.9789754828020637,17.53393839156112,sube el costo total
superficie_util_m2,31980.179146148508,0.9430827232077086,12.293059000317133,sube el costo total
estacionamientos,16593.2703682493,0.7653475545262933,6.378389899347043,sube el costo total
precio_m2_sector_departamento,15035.14922084026,0.7962081630355994,5.779454067649304,sube el costo total
amoblado,13312.987125507083,0.9693086958400728,5.117461520662895,sube el costo total
rank_nac,10505.017197700106,0.7133166036924493,4.038088580445811,sube el costo total
hog_uv,7265.641152723208,-0.5078174552776099,2.792884772701948,baja el costo total
antiguedad_anos,7256.31218021734,-0.6401478937067007,2.7892987512196146,baja el costo total
p_urbano,6487.59763639963,-0.6291675259850593,2.4938078098347205,baja el costo total
distancia_centro_concepcion_m,6253.278523642931,-0.6561940650057129,2.4037364357859303,baja el costo total
piso_unidad,5800.008245672625,0.6986515872576181,2.2295010681629135,sube el costo total
ascensor,5682.477204622663,0.9171053845864305,2.1843225838463276,sube el costo total
distancia_centro_comuna_m,5134.434121690531,-0.17043240386428035,1.9736569111366187,baja el costo total
conserjeria,4309.2357307626135,0.8173022878781443,1.6564537941595407,sube el costo total
bodegas,4259.4304240168585,0.4390954703965217,1.63730882403425,sube el costo total
piscina,3663.3870920827094,0.8286189313891179,1.4081920385176014,sube el costo total
cantidad_jardines_infantiles,3523.0312422384814,0.9214136275037396,1.3542397846765675,sube el costo total
ratio_total_util,3264.727922846687,0.08793493631042637,1.254948972991308,mixta / no lineal
condominio_cerrado,3152.662044274244,0.8975924481967129,1.211871276305568,sube el costo total
cantidad_supermercados,2448.293631908138,0.23074930851951295,0.9411147426537212,sube el costo total
nivel_barrio,1706.0414098935491,0.7761829649083453,0.6557958169327958,sube el costo total
cantidad_colegios,1501.915344781046,0.11010547489222826,0.5773305353450039,mixta / no lineal
cantidad_plazas,1311.2901145769058,0.19348550645279539,0.5040549232497928,sube el costo total
cantidad_clinicas,1260.2461149498279,0.1699099098975389,0.4844338043010767,sube el costo total
cantidad_paraderos,1175.7634772897884,-0.6128540675953649,0.4519590003135463,baja el costo total
cantidad_farmacias,1096.9277814321808,-0.3115588364438143,0.42165485923667106,baja el costo total
tiene_comparables_cercanos,753.4923726511789,-0.5616169822524818,0.2896395967939857,baja el costo total
cantidad_universidades,647.0482316423978,0.08396597266779963,0.24872287460556067,mixta / no lineal
