id_aviso,banos,estacionamientos,dormitorios,antiguedad_anos,condominio_cerrado,distancia_centro_comuna_m,distancia_centro_concepcion_m,cantidad_paraderos,cantidad_jardines_infantiles,cantidad_colegios,cantidad_universidades,cantidad_plazas,cantidad_supermercados,cantidad_farmacias,cantidad_centros_comerciales,cantidad_hospitales,cantidad_clinicas,cantidad_estaciones_metro,superficie_total_m2,superficie_util_m2,bodegas,gastos_comunes,estacionamiento_visitas,piscina,quincho,conserjeria,ascensor,piso_unidad,rank_nac,c_ig_com,c_ig_reg,c_ig_nac,pob_rsh_uv,hog_uv,p_urbano,precio_clp,nivel_barrio,precio_m2_sector_departamento,tiene_comparables_cercanos,comuna_otras comunas,comuna_san-pedro-de-la-paz-biobio,amoblado,ratio_total_util
MLC-4155498684,2.0,1.0,2,1,False,6253.6,6496.6,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,52.0,0,0.0,0,0.0,0.0,0.0,1.0,2.0,6682.0,4.0,4.0,4.0,4021.0,1996.0,65.51757177067043,650000.0,2,12500.0,True,True,False,0,1.0961538461538463
MLC-4155628034,2.0,1.0,2,1,False,6253.6,6496.6,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,52.0,0,0.0,0,0.0,0.0,0.0,1.0,2.0,6682.0,4.0,4.0,4.0,4021.0,1996.0,65.51757177067043,650000.0,2,12500.0,True,True,False,0,1.0961538461538463
MLC-4155692828,2.0,1.0,2,1,False,6253.6,6496.6,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,52.0,0,0.0,0,0.0,0.0,0.0,1.0,2.0,6682.0,4.0,4.0,4.0,4021.0,1996.0,65.51757177067043,650000.0,2,12500.0,True,True,False,0,1.0961538461538463
MLC-4155692820,2.0,1.0,2,1,False,6253.6,6496.6,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,52.0,0,0.0,0,0.0,0.0,0.0,1.0,2.0,6682.0,4.0,4.0,4.0,4021.0,1996.0,65.51757177067043,650000.0,2,12500.0,True,True,False,0,1.0961538461538463
MLC-4155692596,2.0,1.0,2,1,False,6253.6,6496.6,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,52.0,0,0.0,0,0.0,0.0,0.0,1.0,2.0,6682.0,4.0,4.0,4.0,4021.0,1996.0,65.51757177067043,650000.0,2,12500.0,True,True,False,0,1.0961538461538463
MLC-4155692576,2.0,1.0,2,1,False,6253.6,6496.6,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,52.0,0,0.0,0,0.0,0.0,0.0,1.0,2.0,6682.0,4.0,4.0,4.0,4021.0,1996.0,65.51757177067043,650000.0,2,12500.0,True,True,False,0,1.0961538461538463
MLC-4155498134,2.0,1.0,2,1,False,6253.6,6496.6,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,52.0,0,0.0,0,0.0,0.0,0.0,1.0,2.0,6682.0,4.0,4.0,4.0,4021.0,1996.0,65.51757177067043,650000.0,2,12500.0,True,True,False,0,1.0961538461538463
MLC-4155627026,2.0,1.0,2,1,False,6253.6,6496.6,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,52.0,0,0.0,0,0.0,0.0,0.0,1.0,2.0,6682.0,4.0,4.0,4.0,4021.0,1996.0,65.51757177067043,650000.0,2,12500.0,True,True,False,0,1.0961538461538463
MLC-4155691620,2.0,1.0,2,1,False,6253.6,6496.6,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,52.0,0,0.0,0,0.0,0.0,0.0,1.0,2.0,6682.0,4.0,4.0,4.0,4021.0,1996.0,65.51757177067043,650000.0,2,12500.0,True,True,False,0,1.0961538461538463
MLC-4155691242,2.0,1.0,2,1,False,6253.6,6496.6,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,52.0,0,0.0,0,0.0,0.0,0.0,1.0,2.0,6682.0,4.0,4.0,4.0,4021.0,1996.0,65.51757177067043,650000.0,2,12500.0,True,True,False,0,1.0961538461538463
MLC-4155496884,2.0,1.0,2,1,False,6253.6,6496.6,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,52.0,0,0.0,0,0.0,0.0,0.0,1.0,2.0,6682.0,4.0,4.0,4.0,4021.0,1996.0,65.51757177067043,650000.0,2,12500.0,True,True,False,0,1.0961538461538463
MLC-4155691140,2.0,1.0,2,1,False,6253.6,6496.6,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,52.0,0,0.0,0,0.0,0.0,0.0,1.0,2.0,6682.0,4.0,4.0,4.0,4021.0,1996.0,65.51757177067043,650000.0,2,12500.0,True,True,False,0,1.0961538461538463
MLC-4155496858,2.0,1.0,2,1,False,6253.6,6496.6,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,52.0,0,0.0,0,0.0,0.0,0.0,1.0,2.0,6682.0,4.0,4.0,4.0,4021.0,1996.0,65.51757177067043,650000.0,2,12500.0,True,True,False,0,1.0961538461538463
MLC-4155496794,2.0,1.0,2,1,False,6253.6,6496.6,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,52.0,0,0.0,0,0.0,0.0,0.0,1.0,2.0,6682.0,4.0,4.0,4.0,4021.0,1996.0,65.51757177067043,650000.0,2,12500.0,True,True,False,0,1.0961538461538463
MLC-4155691020,2.0,1.0,2,1,False,6253.6,6496.6,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,52.0,0,0.0,0,0.0,0.0,0.0,1.0,2.0,6682.0,4.0,4.0,4.0,4021.0,1996.0,65.51757177067043,650000.0,2,12500.0,True,True,False,0,1.0961538461538463
MLC-4155626108,2.0,1.0,2,1,False,6253.6,6496.6,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,52.0,0,0.0,0,0.0,0.0,0.0,1.0,2.0,6682.0,4.0,4.0,4.0,4021.0,1996.0,65.51757177067043,650000.0,2,12500.0,True,True,False,0,1.0961538461538463
